year,ecoregion,ba_forest_km2,ba_forest_counter_km2,ba_nonforest_km2,ba_nonforest_counter_km2,fwi90,fwi_90_counter,ppt_mm,ppt_counter_mm
2014,8.3,990.5989,960.1092,577.5103,559.8788,13.87268,12.64667,918.2596,873.9073
2015,8.3,1117.505,1078.735,700.129,676.2105,18.06876,16.65642,768.0336,726.2758
2016,8.3,876.7693,848.1109,547.9273,530.2216,18.6676,17.35246,808.0597,764.5018
2017,8.3,904.6372,875.8523,519.4161,503.0587,13.22467,11.94885,849.7783,806.2282
2018,8.3,774.5151,750.3182,517.2724,501.2406,12.85114,11.60694,939.8022,894.6227
2019,8.3,801.7401,770.8265,627.458,603.5308,17.04364,15.48918,921.9787,869.955
2020,8.3,583.5124,563.7477,634.532,613.1082,12.5552,11.22202,942.4682,888.0932
2021,8.3,1006.677,973.606,435.8123,421.4494,12.62657,11.3575,1017.023,957.2935
2022,8.3,1176.028,1127.607,720.0654,690.7916,16.75222,15.08261,1003.306,949.9281
2023,8.3,841.8269,802.9536,503.7672,480.9936,20.77911,18.85806,859.8618,813.0123
2002,8.4,110.4001,107.6253,99.03848,92.73426,12.40801,11.57545,746.4567,732.1223
2003,8.4,475.4702,463.1073,196.7908,186.1205,7.742934,7.103942,783.2318,764.9331
2004,8.4,544.7115,528.6538,580.5112,546.1921,8.534482,7.851701,916.0925,894.6404
2005,8.4,443.1006,428.0781,282.9671,260.3373,15.60949,14.58556,828.985,807.9424
2006,8.4,328.8421,317.4305,297.7586,272.4477,13.91135,12.79989,746.6865,726.1177
2007,8.4,389.0797,375.1516,427.023,388.7484,17.40553,16.21836,706.2949,685.6863
2008,8.4,533.35,515.0217,209.2242,192.1317,13.10782,12.05673,649.4689,628.3358
2009,8.4,502.0521,481.3388,127.1208,116.9271,9.603107,8.681757,875.6241,844.7972
2010,8.4,710.2046,679.6408,657.6841,594.7355,15.67921,14.47626,851.2307,822.793
2011,8.4,393.7958,377.1566,748.5765,671.7625,14.25789,12.90511,726.1023,700.8691
2012,8.4,260.6727,246.2124,147.0571,129.1072,17.89892,16.34454,840.218,803.2244
2013,8.4,409.0159,392.9653,150.2727,136.8768,10.44416,9.316697,655.9772,630.6053
2014,8.4,357.5674,340.3514,103.3259,93.23387,10.54388,9.376628,902.6749,867.9409
2015,8.4,166.3504,158.2953,1004.533,900.4292,12.60019,11.31719,756.4773,723.2341
2016,8.4,981.8101,928.9412,276.9647,247.0145,14.55007,13.25599,858.4846,819.2853
2017,8.4,466.2525,443.8495,448.2456,403.1078,10.3503,9.120892,795.9713,762.3149
2018,8.4,383.5062,362.094,139.1255,124.8857,9.413744,8.265854,958.4676,914.7449
2019,8.4,387.7936,363.0977,463.4658,407.213,12.3234,10.90521,995.2392,946.7717
2020,8.4,217.3702,202.9632,256.5997,225.346,10.55577,9.167623,1033.013,981.1041
2021,8.4,660.2564,614.1649,425.0937,370.5236,11.24056,9.769646,1022.073,967.3915
2022,8.4,687.267,642.4959,465.3951,400.2487,13.9797,12.19658,913.5821,869.1153
2023,8.4,613.7385,572.4529,437.5271,377.5753,14.46704,12.77774,906.1519,857.7876
2002,8.5,633.889,604.3018,679.3349,631.7735,14.59809,13.99937,768.3105,749.3528
2003,8.5,319.4099,308.7097,2254.09,2095.405,10.19584,9.725828,795.8384,771.2896
2004,8.5,542.7822,515.5358,2719.913,2468.226,16.13532,15.45182,933.0606,902.8266
2005,8.5,438.5991,414.7676,1671.863,1522.695,15.94176,15.22447,831.7206,805.0874
2006,8.5,534.4219,497.2548,2207.785,1963.06,21.66678,20.74758,864.6143,831.8586
2007,8.5,2378.209,2194.872,2404.577,2165.795,22.43085,21.46103,642.7366,619.8646
2008,8.5,629.3875,586.0291,2137.044,1936.127,17.61095,16.73652,624.2181,600.92
2009,8.5,462.3939,434.7032,970.8768,873.8859,15.95228,15.15545,813.7957,783.3463
2010,8.5,382.6487,353.1999,3998.409,3544.629,20.09815,19.09738,821.8619,790.694
2011,8.5,1860.508,1704.969,2979.727,2613.298,20.92384,19.83306,787.6353,753.7114
2012,8.5,529.4914,488.2292,1347.952,1191.939,17.59924,16.58341,706.4875,674.4104
2013,8.5,608.1648,562.4783,1810.774,1601.521,14.61042,13.62369,834.4983,801.3373
2014,8.5,428.738,401.6461,1603.052,1402.885,12.45808,11.57083,914.404,870.7323
2015,8.5,266.0319,244.4731,5165.219,4422.293,16.4278,15.31444,845.0289,797.5172
2016,8.5,403.2281,371.1654,2665.034,2306.047,16.87115,15.79499,797.4297,754.7754
2017,8.5,923.9302,853.7701,1932.107,1647.398,16.3518,15.28232,937.2238,885.4025
2018,8.5,504.4102,467.4973,1304.006,1132.475,13.47555,12.47154,972.9482,929.5011
2019,8.5,435.8121,402.0044,3498.714,2975.564,14.40795,13.31655,971.4128,918.9634
2020,8.5,407.3011,375.3649,1942.182,1653.568,14.30464,13.20689,960.8499,909.3186
2021,8.5,583.2979,538.2704,2665.248,2260.919,13.74334,12.6506,969.3315,915.3902
2022,8.5,534.6364,486.9163,2922.062,2450.893,14.67562,13.4357,1050.762,996.1019
2023,8.5,730.3551,651.9633,2818.736,2358.073,17.59411,16.15967,872.0891,823.9273
2002,9.2,1.286214,1.383923,1016.109,1044.357,12.25034,11.34616,549.6555,550.8366
2003,9.2,19.93632,22.59591,1289.215,1390.124,16.16368,14.40564,512.442,519.2175
2004,9.2,16.29204,17.46827,540.6385,562.6232,8.465581,7.502483,471.2809,474.7031
2005,9.2,6.43107,7.002446,1378.178,1471.161,11.97987,10.6803,590.2861,597.2416
2006,9.2,7.931653,8.68431,1281.497,1372.94,16.11264,14.73307,518.0988,525.4045
2007,9.2,45.01749,49.80035,910.8538,970.8745,13.21575,11.77553,440.0201,445.993
2008,9.2,17.57826,19.27561,981.1666,1048.115,11.4276,10.05518,572.384,579.1312
2009,9.2,9.432237,10.3737,2983.586,3110.266,10.65203,9.432885,550.8191,553.3484
2010,9.2,9.646605,10.77873,1798.556,1918.531,10.275,8.733489,526.3393,531.9751
2011,9.2,6.002332,7.126847,1181.173,1325.693,16.31386,13.81319,650.3326,661.6431
2012,9.2,1.929321,2.408738,918.3564,1010.094,22.90654,20.07593,581.7008,587.3023
2013,9.2,12.00466,14.00031,480.4009,519.5588,13.49361,11.44012,474.138,480.0884
2014,9.2,18.22136,20.75887,1044.62,1095.384,9.142097,7.542286,571.2577,573.1312
2015,9.2,18.007,20.88608,1098.427,1221.298,13.11993,10.91289,580.5487,591.3766
2016,9.2,7.288546,7.947359,1007.963,1083.236,11.36667,10.00349,547.9529,555.9672
2017,9.2,37.94332,43.28854,1068.415,1199.675,15.97997,13.85784,579.2422,592.4815
2018,9.2,10.71845,12.31765,1580.757,1696.751,14.35557,12.49898,503.5848,508.9575
2019,9.2,26.58175,30.37667,806.8851,875.3198,11.30198,9.420311,532.2486,539.6526
2020,9.2,11.57593,15.04018,3125.713,3412.285,17.90643,14.75028,618.0071,620.5055
2021,9.2,5.573594,6.932176,787.1628,875.1661,20.56694,17.69263,496.1627,503.7394
2022,9.2,11.79029,15.8061,411.1596,462.2593,19.61681,15.9423,470.9882,476.9482
2023,9.2,0,0,685.3376,755.4417,18.71605,16.0175,552.1318,558.817
2002,9.3,0,0,726.2823,706.2563,24.82048,24.14947,332.8915,342.3337
2003,9.3,0.857476,0.857476,1165.953,1066.709,33.84542,32.38289,355.2984,369.7598
2004,9.3,0.214369,0.214369,198.5057,180.2698,20.07081,18.78198,332.2066,341.0265
2005,9.3,0,0,309.5489,282.8281,25.62048,24.19996,338.8714,352.0718
2006,9.3,215.8696,215.8696,3042.539,2840.797,33.14241,31.86806,395.609,410.1549
2007,9.3,60.45206,60.45206,597.0177,520.5914,28.66688,26.9214,300.0751,310.606
2008,9.3,19.72195,19.72195,455.9628,406.58,24.78834,23.10909,388.4261,402.3034
2009,9.3,5.359225,5.359225,282.9672,257.1536,21.3695,19.69709,379.5306,397.3928
2010,9.3,0,0,595.7314,512.6049,20.08177,18.04043,379.5626,394.0436
2011,9.3,0.643107,0.643107,797.4528,661.2307,28.77934,26.0386,460.9273,483.5265
2012,9.3,0,0,4758.133,3938.41,37.30006,34.55438,501.5485,523.8782
2013,9.3,2.572428,2.572428,222.5151,187.0919,21.35186,19.01387,330.5423,346.8503
2014,9.3,0.214369,0.214369,248.2393,222.7878,18.53184,16.61266,392.3225,413.1695
2015,9.3,0,0,602.8055,505.5947,26.24682,23.53974,435.5509,459.8732
2016,9.3,0,0,729.0687,614.8397,25.04881,22.62459,347.1668,366.1253
2017,9.3,0,0,2777.364,2341.09,37.01956,34.51621,388.3599,409.0472
2018,9.3,0,0,397.6547,327.0018,24.51087,22.04504,272.6212,287.0382
2019,9.3,0.428738,0.428738,174.4964,148.3166,20.66367,18.27875,378.1319,397.8948
2020,9.3,0,0,1090.067,746.9784,38.96352,34.45885,419.3296,441.1693
2021,9.3,24.43806,24.43806,1637.35,1221.045,37.25705,33.72803,284.5154,302.2199
2022,9.3,0,0,498.6224,337.4939,35.49399,31.08585,266.1324,283.0398
2023,9.3,0,0,296.258,226.052,28.98249,25.55633,338.2292,358.553
2002,9.4,0,0,1058.34,957.2949,28.91026,27.07756,453.2696,442.1373
2003,9.4,0,0,5071.11,4617.703,31.31161,29.09927,362.7223,354.7623
2004,9.4,0,0,3136.647,2861.473,24.84516,23.10861,380.9559,371.0583
2005,9.4,0,0,5092.119,4499.28,29.32229,26.74566,514.7194,502.5187
2006,9.4,0,0,6950.057,6202.582,35.16389,32.57782,443.4556,433.2933
2007,9.4,0,0,3216.818,2924.33,27.067,24.88098,345.1071,336.6875
2008,9.4,0,0,7801.744,6633.287,32.22485,29.4203,574.6703,555.9017
2009,9.4,0,0,7775.376,6846.523,27.34622,24.48056,433.1157,421.6285
2010,9.4,0.428738,0.428738,3669.353,3189.937,33.70642,30.47655,407.8185,395.5446
2011,9.4,0.428738,0.428738,14116.41,11954.37,47.37085,43.61499,474.7877,459.8318
2012,9.4,0,0,1748.822,1538.089,40.47575,36.94936,264.2166,255.6953
2013,9.4,31.0835,31.0835,995.5294,856.984,32.9263,29.418,331.3897,318.5023
2014,9.4,0.214369,0.214369,5912.726,5117.116,30.74113,27.26131,399.1877,387.227
2015,9.4,0,0,2637.596,2322.26,28.29003,25.11073,347.6172,337.6286
2016,9.4,0.428738,0.428738,8066.488,6642.438,29.10141,25.50641,547.6238,526.3048
2017,9.4,0,0,6803.211,5730.653,26.82175,23.08754,466.9401,450.8177
2018,9.4,0,0,5565.232,4614.039,30.90533,27.04143,517.7891,499.1301
2019,9.4,0,0,4874.321,4255,29.27442,25.43159,355.9783,347.4977
2020,9.4,0,0,6503.955,5202.95,34.46264,29.75264,511.7199,490.0307
2021,9.4,0,0,3357.661,2698.33,37.21614,31.69387,365.8313,348.9898
2022,9.4,2.786797,2.786797,6009.19,4735.084,41.10179,35.97211,473.2993,450.6309
2023,9.4,0,0,3516.509,2897.947,41.09,35.62089,343.4434,331.3593
2002,9.5,43.94564,41.7436,145.771,139.3156,25.99792,25.0163,610.1716,589.778
2003,9.5,24.8668,23.76985,300.9741,290.3385,18.93674,18.10577,444.7798,428.9642
2004,9.5,28.72545,27.3723,425.308,407.4502,16.09639,15.17195,542.1381,522.7864
2005,9.5,107.6132,101.378,510.627,475.146,28.6178,27.32111,741.1993,706.8036
2006,9.5,3.001166,2.80866,315.7656,301.9963,24.56469,23.41055,480.6978,462.0259
2007,9.5,17.57826,17.02909,428.9523,412.6011,16.48979,15.79566,491.3732,472.7692
2008,9.5,4.716118,4.467952,997.0302,928.6415,23.77115,22.54963,823.7448,789.3743
2009,9.5,9.003498,8.168769,432.8109,407.1928,29.07801,27.41987,622.2731,597.3088
2010,9.5,72.88546,69.54383,383.9348,369.1166,20.95084,20.07076,343.6216,326.1016
2011,9.5,89.60625,81.01894,676.3342,629.0367,35.33028,33.53806,656.0888,625.0972
2012,9.5,10.28971,9.2658,246.9531,235.7156,22.69354,21.06205,322.5701,306.2446
2013,9.5,36.6571,33.66743,278.251,258.1168,24.66385,23.03811,669.6963,635.8627
2014,9.5,69.24119,63.57447,222.3006,207.4215,19.00053,17.41825,559.4254,528.8371
2015,9.5,19.07884,17.44223,216.2984,202.1808,21.02139,19.40199,553.1589,523.9384
2016,9.5,19.07884,17.84132,505.2676,459.4549,19.01125,17.44013,770.1223,723.68
2017,9.5,24.43807,22.6487,671.8323,611.649,19.62431,17.95537,802.5566,757.5773
2018,9.5,7.717284,6.984035,252.7411,231.158,21.02707,19.11023,836.6223,796.3001
2019,9.5,0.214369,0.1936931,441.3857,408.3203,18.52104,16.67727,567.0157,533.1226
2020,9.5,2.358059,2.21708,495.4067,457.4398,18.96468,17.58215,650.3964,611.9184
2021,9.5,2.14369,2.017884,588.2285,544.4983,15.453,14.10452,661.8642,624.6517
2022,9.5,10.07534,8.790841,1254.488,1126.114,27.73635,25.23085,888.059,840.6918
2023,9.5,27.01049,22.10969,480.4009,445.3577,35.51429,32.50472,460.7671,436.8747
2002,9.6,0,0,49.73361,46.14873,42.29617,40.52611,323.5661,315.1768
2003,9.6,0,0,44.16001,40.93378,31.73191,30.08222,297.4386,288.0366
2004,9.6,0,0,230.4467,211.0415,28.58733,26.98334,399.7014,386.8972
2005,9.6,2.358059,2.358059,315.7655,277.662,42.15059,40.15751,501.7305,480.8447
2006,9.6,0,0,141.0548,127.7963,43.11166,40.92838,365.3672,353.3601
2007,9.6,0,0,74.60043,70.90531,28.27978,27.4031,209.4561,201.7555
2008,9.6,0,0,631.7454,543.7654,41.24024,38.89365,663.4005,639.1805
2009,9.6,0,0,230.6611,205.5796,50.95781,48.16689,484.1783,471.6837
2010,9.6,0,0,143.6272,134.7583,35.9817,34.83274,206.9565,197.5968
2011,9.6,0,0,515.3431,433.6854,53.00924,50.03392,601.2083,575.0474
2012,9.6,0,0,74.17168,66.91583,45.56214,42.51057,158.3696,150.6189
2013,9.6,0,0,48.87613,42.66962,41.83423,38.63096,339.1469,323.8577
2014,9.6,0,0,56.37905,49.60593,37.80363,34.59137,312.1314,298.9129
2015,9.6,0,0,102.0397,90.74924,39.35162,36.54564,283.4189,270.4637
2016,9.6,0,0,134.195,111.4818,34.65905,31.66933,556.6559,527.252
2017,9.6,0,0,172.9958,146.1511,39.66434,36.24541,490.8164,468.3907
2018,9.6,0,0,111.4719,96.19304,41.45241,37.82885,323.2246,307.5294
2019,9.6,0,0,96.89479,84.55248,39.39668,36.09539,274.2357,259.434
2020,9.6,0,0,69.45557,60.7492,35.88955,33.14498,300.0295,282.3965
2021,9.6,0,0,140.8404,121.325,32.85477,29.95825,392.5985,371.9761
2022,9.6,0,0,356.4957,296.4361,49.93729,45.42951,443.187,423.3777
2023,9.6,0,0,139.3399,121.2822,49.617,45.23408,248.6362,239.8418
2002,10.1,96.46606,111.6705,2232.01,1951.544,48.99398,47.32448,206.4829,202.4461
2003,10.1,710.4189,840.7226,1649.14,1445.002,46.09394,44.21597,164.7137,161.823
2004,10.1,78.24471,91.90598,1211.828,1049.205,42.85985,41.03104,225.78,221.6196
2005,10.1,83.81828,98.08934,5063.823,4427.856,45.70736,43.93322,221.7978,218.2491
2006,10.1,176.2113,213.0591,8814.846,7692.89,47.64147,45.54872,290.5877,288.3368
2007,10.1,192.5034,234.1341,8787.193,7266.797,46.68714,44.43402,243.0432,236.8308
2008,10.1,26.58175,33.5932,1632.42,1363.968,48.89003,46.28726,201.1597,197.4572
2009,10.1,451.0323,541.0656,1369.389,1183.384,43.30023,41.26456,215.7668,212.3936
2010,10.1,81.46022,103.5079,2967.723,2551.794,47.35882,44.75877,253.7471,252.5343
2011,10.1,38.37205,49.66094,3419.399,2884.938,46.85507,44.04155,266.0388,264.1533
2012,10.1,31.72661,43.05166,10862.72,9002.236,51.29219,47.98763,264.4685,263.2805
2013,10.1,34.72778,47.4122,1762.327,1438.374,47.56104,44.16837,200.242,198.1278
2014,10.1,18.007,25.40444,2860.324,2335.896,46.36985,42.6618,180.0843,179.4725
2015,10.1,71.81362,92.74282,2322.688,1900.542,42.01802,39.16618,226.2612,221.8789
2016,10.1,21.65127,29.14283,3127.641,2614.234,49.65349,46.44348,234.823,233.9467
2017,10.1,567.8634,780.1851,6407.485,5030.497,47.14902,43.62083,240.9558,236.0762
2018,10.1,322.4109,437.7656,8157.162,6198.313,50.65313,47.17584,302.0201,294.0544
2019,10.1,61.09517,81.81638,1830.067,1497.882,46.61372,43.41253,228.1853,225.436
2020,10.1,209.6529,289.0588,5049.243,3863.552,53.7253,50.11369,315.1039,308.3647
2021,10.1,3226.896,4658.763,1508.943,1188.087,47.31511,43.3144,197.6745,195.2215
2022,10.1,108.2563,167.2175,1359.314,986.6851,48.69504,43.88648,200.1261,194.2933
2023,10.1,606.8786,858.2401,1042.691,877.4606,41.96494,38.29153,201.2558,203.1042
2002,10.2,0,0,759.7238,646.0565,55.51985,53.23381,144.6071,142.3942
2003,10.2,0,0,568.9351,473.5755,57.17688,54.56142,115.123,112.8716
2004,10.2,0,0,460.2502,397.2128,51.09937,49.09326,160.4552,157.7895
2005,10.2,0,0,4067.649,3388.93,53.72409,51.34019,187.7535,183.5145
2006,10.2,0,0,1145.159,957.4656,57.54511,55.03893,212.6311,210.0147
2007,10.2,0,0,791.45,661.0682,52.02055,49.39495,131.6519,129.9846
2008,10.2,0,0,1491.151,1172.299,63.00339,59.76328,187.8562,183.169
2009,10.2,0,0,1027.47,818.861,58.50019,55.11628,198.5181,197.0904
2010,10.2,0,0,809.0284,660.6901,55.98372,53.13626,105.1728,102.3193
2011,10.2,0.214369,0.214369,9485.184,7389.286,66.06953,62.79926,229.955,224.2434
2012,10.2,0,0,1138.942,921.9984,55.33443,52.18899,68.33855,66.95947
2013,10.2,7.931653,7.931653,779.8743,598.591,59.76506,55.96864,135.1095,132.0893
2014,10.2,0,0,308.2626,235.7439,60.76752,56.88327,151.0201,148.282
2015,10.2,0,0,267.9614,216.7041,47.18755,44.20085,123.2453,120.273
2016,10.2,0,0,655.9691,492.8259,53.45649,49.83021,188.802,181.1746
2017,10.2,0,0,781.5891,592.4344,56.85935,52.97474,173.2437,169.2423
2018,10.2,0.214369,0.214369,613.3098,465.0739,57.86299,53.91581,167.1243,163.7539
2019,10.2,0.214369,0.214369,597.0176,456.9051,55.55529,51.77588,126.4165,122.8249
2020,10.2,0,0,1510.229,1156.984,58.29774,54.67782,131.2462,126.3431
2021,10.2,15.2202,15.2202,596.5889,431.2686,59.18074,54.83609,132.5235,125.9673
2022,10.2,0,0,739.5731,529.6049,62.13075,57.34245,163.8025,159.9549
2023,10.2,0,0,1183.317,900.3935,58.6426,54.44492,134.9714,134.3798
2002,11.1,50.37671,44.47845,854.9037,864.7225,36.99906,36.52648,332.5776,326.4263
2003,11.1,305.4758,266.8641,2565.139,2633.488,34.38948,33.81308,134.5156,131.8043
2004,11.1,87.24818,75.51807,893.2754,912.6259,38.80487,38.21948,280.1111,275.3137
2005,11.1,9.003498,7.713759,987.1694,1012.965,37.60579,36.96594,211.6146,207.2892
2006,11.1,126.9064,107.0517,1705.734,1747.756,40.05053,39.36491,431.4965,425.5822
2007,11.1,182.6424,145.6824,1853.005,1899.646,41.33838,40.46146,408.9762,398.9829
2008,11.1,503.5528,400.0833,941.9375,988.537,42.22227,41.22503,164.0873,160.4777
2009,11.1,43.30254,35.73355,1277.425,1321.764,40.7341,39.92954,278.3026,273.5168
2010,11.1,1.500583,1.223945,457.2491,474.1382,38.12142,37.2677,247.0416,241.9883
2011,11.1,1.286214,1.021537,977.7369,1007.984,35.93201,35.01495,412.1032,403.3844
2012,11.1,56.16468,44.0544,661.5427,692.2512,39.9786,38.95131,341.4189,336.0081
2013,11.1,18.22136,13.44882,626.6005,663.3192,40.64264,39.35705,244.7127,238.0054
2014,11.1,4.716118,3.41889,437.9558,475.654,44.80916,43.34578,113.6731,112.9142
2015,11.1,315.5511,237.9244,584.1556,616.364,38.27424,37.07566,204.2734,198.2435
2016,11.1,281.6809,213.6774,738.9299,786.7696,42.65902,41.43948,141.0815,138.0931
2017,11.1,422.95,308.3515,2151.407,2278.491,41.92457,40.5954,314.524,307.0134
2018,11.1,531.8494,379.5229,1251.486,1305.305,42.12468,40.79304,521.0056,507.5176
2019,11.1,92.39304,66.26533,800.0251,853.6951,42.03213,40.61322,255.0536,248.4556
2020,11.1,1282.355,907.1667,2717.126,2832.25,43.95965,42.60147,527.7672,513.4499
2021,11.1,578.1532,401.6362,422.95,454.7312,42.61857,41.05757,208.2059,201.3419
2022,11.1,16.93515,11.88718,228.7317,248.1258,43.17429,41.60742,165.2085,161.6742
2023,11.1,8.360391,6.133433,994.0289,1070.403,36.66085,35.27679,91.75617,89.46043
2002,12.1,62.59575,62.59575,583.0836,498.7294,59.63755,56.02742,289.6297,283.4983
2003,12.1,0.857476,0.857476,556.0731,464.0153,65.19675,60.97905,283.2175,276.8103
2004,12.1,10.71845,10.71845,302.9034,260.7679,50.84045,47.4539,257.4885,250.2111
2005,12.1,0,0,538.9236,457.769,60.20282,56.5331,313.7697,305.4536
2006,12.1,0.857476,0.857476,396.5826,333.6852,61.7214,57.61317,290.4822,285.9598
2007,12.1,0,0,257.6716,215.0241,58.58889,54.33648,316.1317,310.4051
2008,12.1,0,0,821.2475,658.0795,70.62007,65.51224,334.592,325.7247
2009,12.1,0,0,938.936,759.9345,62.71118,57.72179,398.2159,391.8686
2010,12.1,0,0,442.672,361.7881,60.37798,55.69204,221.8697,214.4186
2011,12.1,33.01283,33.01283,2203.07,1788.729,74.13761,69.42986,357.0951,346.9178
2012,12.1,3.429904,3.429904,748.1477,614.7403,62.21042,57.41524,158.6472,155.8333
2013,12.1,0,0,628.3154,495.6078,68.67047,63.0573,237.1293,230.3242
2014,12.1,22.50874,22.50874,469.468,370.8873,67.63598,62.11899,283.1983,275.3109
2015,12.1,0,0,261.3158,215.5442,46.49653,42.01025,252.8317,245.9896
2016,12.1,0.643107,0.643107,687.6959,531.932,57.28528,51.64344,358.9212,343.3122
2017,12.1,59.38021,59.38021,1369.174,1096.393,61.97144,56.75876,338.8429,331.6381
2018,12.1,0,0,1300.362,1028.624,61.78466,56.26207,315.1842,308.0147
2019,12.1,0.214369,0.214369,876.5549,684.9698,63.2103,57.54489,281.5994,271.3116
2020,12.1,0,0,880.6277,702.8289,59.20785,53.89489,205.5195,198.6225
2021,12.1,0,0,315.9799,235.8572,67.19004,60.44396,242.3775,230.7079
2022,12.1,0,0,458.5352,338.8296,68.00661,60.97594,363.5367,352.4492
2023,12.1,0,0,765.0829,596.2343,62.13507,56.11051,321.6307,316.8551
2002,12.2,28.51108,23.08921,528.4196,505.5433,41.23841,38.00357,523.7954,501.2657
2003,12.2,45.87497,35.72761,834.1098,800.8896,56.56847,52.56181,474.2807,452.1813
2004,12.2,24.43806,19.57179,1004.533,964.3682,38.13393,34.64389,466.4727,445.0094
2005,12.2,45.01749,35.17831,1058.983,996.6398,51.21207,47.56032,559.0489,529.227
2006,12.2,101.1822,82.66422,637.7477,616.8005,42.93095,39.69917,437.1136,419.0363
2007,12.2,34.08467,26.62998,561.4323,538.1111,43.84877,39.92682,484.4841,461.7692
2008,12.2,79.5309,59.18669,915.3556,852.4822,53.59087,49.1938,634.1136,598.9825
2009,12.2,62.16702,46.6042,705.0595,657.6207,51.47263,47.18817,656.9522,622.5913
2010,12.2,4.930487,3.957909,269.2474,257.9711,48.46755,45.04932,369.0238,346.8482
2011,12.2,42.65943,31.5853,745.7897,686.5199,53.0599,48.7391,669.5363,629.7378
2012,12.2,27.01049,20.71678,207.2948,197.6365,43.95025,39.76562,416.9773,391.7397
2013,12.2,176.8544,125.9234,358.4249,335.7188,59.58149,54.28739,561.3693,527.3584
2014,12.2,18.00699,13.09431,130.7651,122.4299,48.82879,43.92859,487.6284,453.9821
2015,12.2,7.502915,5.826412,322.8397,294.4833,32.77407,29.46386,571.7909,529.6296
2016,12.2,89.17751,62.79462,494.7636,446.4874,46.19319,41.23879,707.4875,658.6917
2017,12.2,29.58292,21.74525,509.5551,467.6494,47.75592,43.3458,615.0216,573.8682
2018,12.2,59.59458,44.30663,329.485,308.1249,41.34771,36.87216,496.166,462.6214
2019,12.2,85.74759,59.12982,343.4192,310.2116,55.51043,50.15696,636.0466,587.1057
2020,12.2,12.4334,9.65962,216.9414,203.8988,43.75282,40.01355,426.117,395.6318
2021,12.2,66.66876,46.78114,303.9752,283.223,57.03379,51.54792,497.3773,460.9483
2022,12.2,11.7903,8.144163,323.4828,292.7091,52.60151,47.25398,628.3057,580.0819
2023,12.2,61.73828,45.16486,195.2902,184.567,48.01084,43.08376,425.4023,395.5655
2002,13.1,292.1849,225.0893,326.6983,275.1993,58.83674,55.87076,332.9883,329.7534
2003,13.1,230.661,175.3499,153.0595,126.101,52.35727,49.19761,163.4854,163.925
2004,13.1,51.8773,39.77697,359.2824,301.1,52.27763,49.25172,256.8047,254.0905
2005,13.1,18.007,13.8319,1533.596,1291.246,50.01299,47.01867,322.424,318.744
2006,13.1,133.5519,96.7031,93.89362,76.47064,50.61917,46.97111,394.9146,388.9104
2007,13.1,33.8703,25.76324,17.14952,14.10454,44.07195,40.91215,329.3111,330.3586
2008,13.1,86.17634,55.70454,163.3492,121.8618,58.90608,53.92615,310.4182,306.7468
2009,13.1,98.39539,66.98417,214.7978,163.9119,44.72667,40.29937,374.1497,374.3754
2010,13.1,58.30837,38.37409,99.68159,75.43745,50.84931,46.08166,232.2754,228.1118
2011,13.1,1315.583,805.516,871.6244,629.0126,68.84571,63.25716,400.0585,395.018
2012,13.1,274.6067,179.2226,442.6719,328.1863,57.02302,52.11262,174.4573,174.4874
2013,13.1,93.46489,55.26741,271.1767,188.9634,59.49777,53.47465,189.61,187.5838
2014,13.1,151.5589,88.41634,208.1523,142.7352,62.3139,56.11436,289.8976,289.7482
2015,13.1,38.58642,26.42074,121.7616,93.85944,36.10349,31.76195,211.5011,210.0045
2016,13.1,155.2032,100.9523,50.16235,38.19968,45.09777,40.24109,322.3766,314.093
2017,13.1,133.9806,82.68247,255.3135,183.6909,50.59825,45.07309,260.5404,257.9343
2018,13.1,597.2319,335.5307,180.2843,122.8843,61.55765,54.98931,376.1427,370.181
2019,13.1,127.3352,83.16162,510.1982,380.736,47.58372,42.70037,253.869,252.1663
2020,13.1,241.5939,144.4728,1497.153,1092.34,60.32135,54.54837,318.4035,305.5212
2021,13.1,377.2894,196.8223,895.205,590.6626,54.06868,46.70915,221.6263,210.1239
2022,13.1,453.1761,229.2091,186.501,117.3585,63.58049,55.78345,346.0251,341.8485
2023,13.1,145.7709,86.31509,74.38604,51.55913,57.71972,51.69243,322.1211,321.8852
2002,13.2,814.602,544.6256,144.6991,115.0782,46.54301,42.90435,626.3643,607.8282
2003,13.2,573.0083,369.7733,189.0735,148.9711,48.01043,44.01854,526.6787,511.4807
2004,13.2,144.4847,102.2654,129.9076,106.4936,34.15476,31.03775,547.3513,530.4652
2005,13.2,1102.928,745.3886,676.9774,540.6494,49.16198,45.62677,611.5406,592.6022
2006,13.2,1558.677,996.2321,142.1267,112.2926,53.21923,49.11526,568.4957,556.6417
2007,13.2,952.8701,612.473,326.6984,254.9314,48.69044,44.68547,591.7689,572.9841
2008,13.2,1473.358,861.9131,545.3547,405.9946,57.09286,52.21676,629.6204,609.4983
2009,13.2,363.5699,223.6364,206.4373,157.2235,51.19229,46.78762,725.6697,705.1974
2010,13.2,169.5659,111.9434,198.2913,155.6334,44.70535,40.97078,559.2685,537.395
2011,13.2,3428.403,2022.138,1484.291,1102.735,63.95335,59.17203,683.2666,660.4351
2012,13.2,1905.097,1147.773,575.152,441.796,52.12206,47.46726,440.2725,428.2006
2013,13.2,614.8102,340.7781,125.6202,91.62656,57.46133,52.06629,562.6729,544.7747
